parent_genre,genre,short_description,genre_id
Rock Metal & Associated,groove,"Rock or metal with a focus on strong, driving, often mid-tempo rhythms.",69
Rock Metal & Associated,grunge,"Alternative rock subgenre from Seattle, blending punk and heavy metal, often with angst-ridden lyrics.",70
Rock Metal & Associated,hard-rock,"Loud, aggressive form of rock, often with heavy drums, distorted guitars, and strong vocals.",71
Rock Metal & Associated,hardcore,"Fast, intense, and often aggressive subgenre of punk rock.",72
Rock Metal & Associated,heavy-metal,"Loud, aggressive rock with an emphasis on electric guitar, often fast tempos and high energy.",73
Rock Metal & Associated,indie,Independent music; rock or pop produced outside of major commercial labels.,74
Rock Metal & Associated,j-rock,Japanese rock music.,75
Rock Metal & Associated,metal,"Aggressive, heavily distorted rock music (umbrella term for its many subgenres).",76
Rock Metal & Associated,metalcore,A fusion genre combining extreme metal (like death metal) with hardcore punk elements.,77
Rock Metal & Associated,power-pop,"Melodic rock with strong hooks and a clean, concise production style.",78
Rock Metal & Associated,psych-rock,"Psychedelic Rock; music influenced by psychedelic culture, often with surreal elements and studio effects.",79
Rock Metal & Associated,punk-rock,"Fast, raw, and often anti-establishment rock music, originating in the mid-1970s.",80
Rock Metal & Associated,punk,(Similar to above) Music prioritizing energy and simplicity over technical proficiency.,81
Rock Metal & Associated,rock-n-roll,"Pioneering genre from the 1950s, blending blues, boogie-woogie, and country.",82
Rock Metal & Associated,rock,"Broad genre of popular music characterized by a strong beat, guitars, and often a verse-chorus structure.",83
Rock Metal & Associated,rockabilly,"Early form of rock and roll, blending country music with rhythm and blues.",84
Rock Metal & Associated,ska,"Precursor to rocksteady and reggae from Jamaica, known for its distinctive syncopated beat.",85
Reggae & Caribbean,dancehall,"Jamaican music characterized by a digital, drum-machine-driven riddim and toasting (rapping).",86
Reggae & Caribbean,reggae,"Jamaican music developed in the late 1960s, known for its off-beat rhythm and heavy bass.",87
Reggae & Caribbean,reggaeton,"A fusion of Jamaican dancehall, Latin American music, and hip-hop, often in Spanish.",88
Reggae & Caribbean,ska,"Precursor to rocksteady and reggae from Jamaica, known for its distinctive syncopated beat.",89
World & Regional,afrobeat,"A blend of West African musical styles, jazz, and funk, often with political lyrics.",90
World & Regional,anime,"Music from or associated with Japanese animation (openings, endings, soundtracks).",91
World & Regional,brazil,"Umbrella term for various Brazilian music styles (e.g., Samba, Bossa Nova).",92
World & Regional,british,"Music originating from or strongly associated with the UK (e.g., Britpop, UK rock).",93
World & Regional,cantopop,"Popular music sung in Cantonese, originating primarily from Hong Kong.",94
World & Regional,forro,"Brazilian dance music originating from the Northeast, often featuring accordion and rhythm.",95
World & Regional,french,"Music with French roots, often chanson or pop/rock sung in French.",96
World & Regional,german,"Music with German roots, including Schlager, German rock, or electronic styles.",97
World & Regional,indian,"Diverse music from India, including Bollywood, classical, and folk styles.",98
World & Regional,iranian,"Music from Iran, encompassing traditional classical and various modern pop styles.",99
World & Regional,j-dance,"Japanese dance music, often electronic and fast-paced.",100
World & Regional,j-idol,"Japanese pop music performed by idol groups (often young, heavily marketed singers).",101
World & Regional,j-pop,"Japanese popular music, a diverse, mainstream genre.",102
World & Regional,j-rock,Japanese rock music.,103
World & Regional,k-pop,"South Korean pop music, known for polished production, dance, and fashion.",104
World & Regional,latin,Music originating from Latin America and the Iberian Peninsula.,105
World & Regional,latino,Broad term for music and musicians from a Latin American cultural background.,106
World & Regional,malay,"Music from Malaysia, often pop or traditional styles.",107
World & Regional,mandopop,"Popular music sung in Mandarin, primarily from China, Taiwan, and Singapore.",108
World & Regional,mpb,"Música Popular Brasileira (Brazilian Popular Music), a post-Bossa Nova genre.",109
World & Regional,salsa,"Cuban and Puerto Rican social dance music, fast and energetic.",110
World & Regional,samba,"Lively Brazilian dance and music, often associated with Carnival.",111
World & Regional,sertanejo,"Popular Brazilian country music, divided into various eras and styles.",112
World & Regional,spanish,"Music from Spain, including flamenco and various regional folk/pop styles.",113
World & Regional,swedish,"Music originating from Sweden, including pop, metal, and dance music.",114
World & Regional,tango,"A dramatic, often melancholy, Argentine and Uruguayan dance music.",115
World & Regional,turkish,"Music from Turkey, blending traditional, folk, pop, and rock elements.",116
World & Regional,world-music,Catch-all term for traditional or non-Western popular music.,117
